sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active,wave,project,asset_id,access_mode,physical_workspace,physical_item
InventoryHistory_Enh.LastInvoiceHelper,InventoryHistory_Enh.v_LastInvoiceHelper,InventoryHistory_Enh,LastInvoiceHelper,DomainSilver,overwrite,daily,1,"InventoryHistory_Enh.InventorySnapshotWeekly,SalesHistory_Enh.v_InvoiceDetailLineLevel","[""InventoryHistory_Enh.InventorySnapshotWeekly"",""SalesHistory_Enh.v_InvoiceDetailLineLevel""]",True,2,inventory_health,InventoryHistory_Enh.LastInvoiceHelper,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.ManufacturingOrderSnapshotDaily,InventoryHistory_Enh.v_ManufacturingOrderSnapshotDaily,InventoryHistory_Enh,ManufacturingOrderSnapshotDaily,DomainSilver,datekey,daily,1,InventoryHistory_Enh.ManufacturingOrder,"[""InventoryHistory_Enh.ManufacturingOrder""]",True,1,inventory_health,InventoryHistory_Enh.ManufacturingOrderSnapshotDaily,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.MovementFlagHelper,InventoryHistory_Enh.v_MovementFlagHelper,InventoryHistory_Enh,MovementFlagHelper,DomainSilver,overwrite,daily,1,"InventoryHistory_Enh.InventorySnapshotWeekly,SalesHistory_Enh.v_InvoiceDetailLineLevel","[""InventoryHistory_Enh.InventorySnapshotWeekly"",""SalesHistory_Enh.v_InvoiceDetailLineLevel""]",True,2,inventory_health,InventoryHistory_Enh.MovementFlagHelper,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.PurchaseOrderSnapshotDaily,InventoryHistory_Enh.v_PurchaseOrderSnapshotDaily,InventoryHistory_Enh,PurchaseOrderSnapshotDaily,DomainSilver,datekey,daily,1,InventoryHistory_Enh.PurchaseOrder,"[""InventoryHistory_Enh.PurchaseOrder""]",True,1,inventory_health,InventoryHistory_Enh.PurchaseOrderSnapshotDaily,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.SafetyStockHelper,InventoryHistory_Enh.v_SafetyStockHelper,InventoryHistory_Enh,SafetyStockHelper,DomainSilver,overwrite,daily,1,InventoryHistory_Enh.InventorySnapshotWeekly,"[""InventoryHistory_Enh.InventorySnapshotWeekly""]",True,2,inventory_health,InventoryHistory_Enh.SafetyStockHelper,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHealth_DW.CogsRollingHelper,InventoryHealth_DW.v_CogsRollingHelper,InventoryHealth_DW,CogsRollingHelper,Gold,overwrite,daily,1,"SalesHistory_Enh.v_InvoiceDetailLineLevel,Shared_DW.DimCalendar","[""SalesHistory_Enh.v_InvoiceDetailLineLevel"",""Enterprise_Lakehouse.ItemMaster_AFI.ITMRVA"",""Shared_DW.DimCalendar""]",True,,inventory_health,InventoryHealth_DW.CogsRollingHelper,GoldPublish,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Gold_Warehouse
InventoryHealth_DW.DimVendor,InventoryHealth_DW.v_DimVendor,InventoryHealth_DW,DimVendor,Gold,overwrite,monthly,1,ReferenceMaster_Enh.Vendor,"[""ReferenceMaster_Enh.Vendor""]",True,,inventory_health,InventoryHealth_DW.DimVendor,GoldPublish,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Gold_Warehouse
InventoryHealth_DW.FactInventoryHealthSnapshot,InventoryHealth_DW.v_FactInventoryHealthSnapshot,InventoryHealth_DW,FactInventoryHealthSnapshot,Gold,overwrite,daily,1,"InventoryHistory_Enh.InventorySnapshotWeekly,InventoryHistory_Enh.PurchaseOrderSnapshotDaily,InventoryHistory_Enh.ManufacturingOrderSnapshotDaily,InventoryHistory_Enh.HoldingTransferSnapshotDaily,InventoryHistory_Enh.AwdHelper,InventoryHistory_Enh.LastInvoiceHelper,InventoryHistory_Enh.MovementFlagHelper,InventoryHistory_Enh.SafetyStockHelper,InventoryHealth_DW.CogsRollingHelper,Shared_DW.DimCalendar,Shared_DW.DimProduct,Shared_DW.DimWarehouse","[""Enterprise_Lakehouse.ItemMaster_AFI.ITEMBL"",""Enterprise_Lakehouse.ItemMaster_AFI.ITMRVA"",""InventoryHistory_Enh.InventorySnapshotWeekly"",""InventoryHistory_Enh.PurchaseOrderSnapshotDaily"",""InventoryHistory_Enh.ManufacturingOrderSnapshotDaily"",""InventoryHistory_Enh.HoldingTransferSnapshotDaily"",""InventoryHistory_Enh.AwdHelper"",""InventoryHistory_Enh.LastInvoiceHelper"",""InventoryHistory_Enh.MovementFlagHelper"",""InventoryHistory_Enh.SafetyStockHelper"",""InventoryHealth_DW.CogsRollingHelper"",""Shared_DW.DimCalendar"",""Shared_DW.DimProduct"",""Shared_DW.DimWarehouse""]",True,,inventory_health,InventoryHealth_DW.FactInventoryHealthSnapshot,GoldPublish,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Gold_Warehouse
InventoryHealth_DW.FactInventoryRiskForward,InventoryHealth_DW.v_FactInventoryRiskForward,InventoryHealth_DW,FactInventoryRiskForward,Gold,overwrite,daily,1,"Shared_DW.DimProduct,Shared_DW.DimCalendar","[""Enterprise_Lakehouse.Wholesale_DemandPlanning_AFI.SupplyPlanDetail"",""Enterprise_Lakehouse.CustomerOrders_AFI.OpenOrderDetail"",""Shared_DW.DimProduct"",""Shared_DW.DimCalendar""]",True,,inventory_health,InventoryHealth_DW.FactInventoryRiskForward,GoldPublish,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Gold_Warehouse
ReferenceMaster_Enh.Vendor,ReferenceMaster_Enh.v_Vendor,ReferenceMaster_Enh,Vendor,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Purchasing_AFI.VendorMaster""]",True,,inventory_health,ReferenceMaster_Enh.Vendor,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
Shared_DW.DimCalendar,Shared_DW.v_DimCalendar,Shared_DW,DimCalendar,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.Calendar""]",True,,shared,Shared_DW.DimCalendar,GoldPublish,SupplyChain DA,SupplyChain_Gold_Warehouse
Shared_DW.DimProduct,Shared_DW.v_DimProduct,Shared_DW,DimProduct,Gold,overwrite,daily,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimItemMaster"",""Enterprise_Lakehouse.Purchasing_AFI.VendorMaster"",""Enterprise_Lakehouse.ItemMaster_AFI.ITBEXT""]",True,,shared,Shared_DW.DimProduct,GoldPublish,SupplyChain DA,SupplyChain_Gold_Warehouse
Shared_DW.DimWarehouse,Shared_DW.v_DimWarehouse,Shared_DW,DimWarehouse,Gold,overwrite,daily,1,,"[""ReferenceMaster_Enh.Warehouse"",""Enterprise_Lakehouse.Wholesale_Codis_AFI.AshleyWarehouseMaster""]",True,,shared,Shared_DW.DimWarehouse,GoldPublish,SupplyChain DA,SupplyChain_Gold_Warehouse
Staging_Wrk.DemandForecastSnapshotDaily,Staging_Wrk.v_DemandForecastSnapshotDaily,Staging_Wrk,DemandForecastSnapshotDaily,Staging,incremental,daily,1,,"[""Enterprise_Lakehouse.SupplyChain_Enh_1.DemandForecastSnapshotDaily""]",True,,shared,Staging_Wrk.DemandForecastSnapshotDaily,WarehouseTransform,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
